Feature,SH3H7-Pos-.05-cir1,SH3H7-Pos-.05-cir2,SH3H7-Pos-.05-cir3,SH3H7-Pos-.05-cir4,SH3H7-Pos-.05-cir5,SH3H7-Pos-.05-cir6,SH3H7-LPos-.05-A^1,SH3H7-LPos-.05-A^2,SH3H7-LPos-.05-A^3,SH3H7-LPos-.05-A^4,SH3H7-LPos-.05-A^5,SH3H7-LPos-.05-A^6,SH3C12-Pos-.05-05_1,SH3C12-Pos-.05-05_2,SH3C12-Pos-.05-05_3,SH3C12-LPos-.05-H^1,SH3C12-LPos-.05-H^2,SH3C12-LPos-.05-H^3,SH3C7-Pos-.05-05_1 2,SH3C7-Pos-.05-05_2 2,SH3C7-Pos-.05-05_3 2,SH3C7-Pos-.05-05_4,SH3C7-Pos-.05-05_5,SH3C7-Pos-.05-05_6,SH3C7-LPos-.05-H^1 2,SH3C7-LPos-.05-H^2 2,SH3C7-LPos-.05-H^3 2,SH3C7-LPos-.05-H^4,SH3C7-LPos-.05-H^5,SH3C7-LPos-.05-H^6,Profile1,SH2D3-Prof-.05-1,SH2D3-Prof-.05-2,SH2D3-Prof-.05-3,SH2D3-Prof-.05-4,SH2D3-Prof-.05-5,SH2D3-Prof-.05-6,SH2D3-Prof-.05-7,SH2D3-Prof-.05-8,SH2D3-Prof-.05-9,SH2D3-Prof-.05-10,SH2E3-Prof-.05-25,SH2E3-Prof-.05-05,SH2G8-Prof-.05-25 2,SH2F8-Prof-.05-50,SH3D12-Diam 25.4-1,SH3D12-Diam 25.4-2,SH3D12-Diam 25.4-3,SH3C12-Perp .05-1,SH3C12-Perp .05-2,SH3C12-Perp .05-3,SH3D7-Diam 25.4-1 2,SH3D7-Diam 25.4-2 2,SH3D7-Diam 25.4-4,SH3D7-Diam 25.4-5,SH3D7-Diam 25.4-6,SH3C7-Perp .05-1 2,SH3C7-Perp .05-2 2,SH3C7-Perp .05-3 2,SH3C7-Perp .05-4,SH3C7-Perp .05-5,SH3C7-Perp .05-6,SH3H7-Diam-20_1,SH3H7-Diam-20_2,SH3H7-Diam-20_3,SH3H7-Diam-20_4,SH3H7-Diam-20_5,SH3H7-Diam-20_6,SH3H7-Diam-.05 _1,SH3H7-Diam-.05 _2,SH3H7-Diam-.05 _3,SH3H7-Diam-.05 _4,SH3H7-Diam-.05 _5,SH3H7-Diam-.05 _6,SH4B11-Diam-37_1,SH4B11-Diam-37_2,SH2D5-Diam-300.5,SH2D1-Flat-.13
Sample 1,0.0000001,0.0000001,0.0000002,0.0055505,0.0071366,0.0000003,0.0149905,0.014288,0.0369832,0.0108081,0.0199638,0.028053,0.0000001,0.0000003,0.0000009,0.0170137,0.012848,0.0106638,0.0057471,0.0000002,0.0000001,0.0000002,0.0025188,0.0000001,0.0083388,0.015171,0.0158718,0.0199599,0.0116314,0.0186973,0.0320356,0.0126187,0.015395,0.0212693,0.0333199,0.0213244,0.0079496,0.0251018,0.0062658,0.0103894,0.0168426,25.012108,0.0081882,25.0175029,0.0010353,25.4180863,25.4180449,25.4197436,0.0056541,0.017176,0.0308567,25.4079285,25.4121817,25.4125747,25.4155879,25.4128677,0.0194205,0.0107948,0.00765,0.0097682,0.0322494,0.0100639,20.0052041,20.0064528,20.0056879,20.0046034,20.0043879,20.0049021,0.0114641,0.0047081,0.0062384,0.0101602,0.0105842,0.01141,37.0448857,37.0492439,300.432809,0.0513895
Sample 2,0.0000004,0.0000003,0.0000006,0.0000039,0.0000063,0.000001,0.0108193,0.0035006,0.0371608,0.0149231,0.0203926,0.0174108,0.0000004,0.0000009,0.0000029,0.0127849,0.010006,0.0103318,0.0000053,0.0000007,0.0000004,0.0000007,0.0000047,0.0000004,0.0073172,0.0084804,0.0172534,0.0224939,0.0165919,0.0094193,0.016264,0.0091246,0.0151896,0.0118553,0.0188888,0.0099946,0.0056449,0.015155,0.0093726,0.0065439,0.0096161,25.0206089,0.01269,25.0187153,0.0030538,25.4167225,25.4168317,25.4180322,0.0033698,0.0207246,0.0388104,25.4179517,25.417126,25.4172691,25.4185942,25.4109638,0.0248595,0.0335069,0.0167903,0.0166493,0.0162996,0.0095811,20.0012866,20.0026794,20.0020227,20.0014723,20.0018414,20.0019619,0.0089615,0.0058332,0.0055961,0.012091,0.011527,0.0194952,37.0332171,37.0371689,300.4275096,0.0326731
Sample 3,0.0000001,0.0000001,0.0000002,0.0000012,0.0000019,0.0000003,0.0110301,0.0077731,0.0277494,0.0181459,0.0148519,0.0125663,0.0000001,0.0000003,0.0004432,0.011906,0.010952,0.0090417,0.0040794,0.0000002,0.0000001,0.0000002,0.0000014,0.0000001,0.0023072,0.0078713,0.0152657,0.0114955,0.0196029,0.0102724,0.0189518,0.0190239,0.0167606,0.0130583,0.0056638,0.0055657,0.0078219,0.0090066,0.0098546,0.0157288,0.0114064,25.0335058,0.008179,25.0352492,0.0007916,25.4179576,25.4184566,25.4188565,0.0164911,0.0227821,0.0396863,25.4187466,25.4182002,25.4184835,25.4193281,25.4136119,0.0379329,0.0336481,0.0054715,0.0046756,0.0296238,0.0050306,20.0031545,20.0039312,20.0033786,20.0037337,20.001558,20.0040124,0.0067882,0.0026026,0.0038685,0.0077502,0.0104521,0.017378,37.0342441,37.0393819,300.4303955,0.0292843
Sample 4,0.0000016,0.0000014,0.0000023,0.0000159,0.0000256,0.0000042,0.0092038,0.0364694,0.0481018,0.013146,0.0312489,0.0154347,0.0000015,0.0000036,0.0000115,0.0342868,0.0225467,0.032455,0.0038582,0.000003,0.0000016,0.0000029,0.0000191,0.0000015,0.0311353,0.0127594,0.032084,0.038844,0.0413626,0.0467376,0.0443453,0.0186852,0.0297919,0.0099686,0.0259705,0.0335988,0.0043572,0.0444704,0.0239577,0.012901,0.0338309,25.0315417,0.0281165,25.0324437,0.0032219,25.4142955,25.4140415,25.4152453,0.0168828,0.0330031,0.0443369,25.4148613,25.4139759,25.4142483,25.4155945,25.4110416,0.0330523,0.0257819,0.0128136,0.0166263,0.0473708,0.0146793,20.000966,20.0004887,20.0003246,20.0005281,20.0001168,20.0000009,0.0104343,0.0045839,0.0075944,0.0183269,0.0155028,0.0194542,37.0415214,37.0434485,300.4090243,0.0316579
Sample 5,0.0000006,0.0000005,0.0000009,0.0000062,0.0038955,0.0000016,0.0298801,0.0022875,0.0236605,0.0281248,0.0237468,0.0197483,0.0000006,0.0000014,0.0049652,0.0227787,0.0180694,0.0064669,0.0114478,0.0000012,0.0000006,0.0000011,0.0000075,0.0000006,0.0075407,0.0179169,0.0259227,0.0109827,0.0278969,0.0089107,0.0205363,0.0090836,0.0161797,0.0081951,0.0190404,0.0135142,0.0040437,0.0205182,0.010017,0.0104681,0.009486,25.0314781,0.0162442,25.0289172,0.0011146,25.41574,25.4155621,25.4166783,0.0181519,0.0292965,0.044168,25.415793,25.4149455,25.4159944,25.4167393,25.4101003,0.0241148,0.0291235,0.0059918,0.0123963,0.0198128,0.0079954,20.0096462,20.0061915,20.0096989,20.0094157,20.0075809,20.0081479,0.0132392,0.0041378,0.0065896,0.0105376,0.0116947,0.01283,37.0436661,37.04696,300.4231872,0.0274072
Sample 6,0,0,0,0.0035842,0.0000005,0.0000001,0.0300652,0.0231902,0.0442271,0.0101599,0.0111252,0.0057791,0,0.0000001,0.0071532,0.0214867,0.0262671,0.0148146,0.0133687,0.0000001,0,0.0000001,0.0106163,0,0.0102291,0.0166871,0.0282285,0.0381531,0.0027693,0.0170229,0.0164,0.0153959,0.0164421,0.0101051,0.0140319,0.0080693,0.0039551,0.0129331,0.0132252,0.0107209,0.0075002,25.0306117,0.0085,25.0305148,0.0065226,25.4140202,25.4166088,25.4177969,0.0164809,0.0185366,0.0422327,25.4171082,25.417741,25.417431,25.4184844,25.4129043,0.0212343,0.0117612,0.0075301,0.0174883,0.0155959,0.0061988,20.0013541,20.0015963,20.0017017,20.0014135,20.0005488,20.0010622,0.0078958,0.001462,0.0055625,0.0084511,0.0100532,0.0116616,37.031585,37.0347283,300.4208659,0.0268341
Sample 8,0.0000003,0.0000002,0.0000004,0.0000027,0.0000043,0.0000007,0.0157523,0.0237281,0.0271454,0.0052898,0.0175084,0.0176686,0.0000003,0.0000006,0.0180342,0.0183761,0.0104783,0.0271404,0.0134082,0.0000005,0.0000003,0.0000005,0.0000032,0.0000003,0.0207448,0.0176828,0.0189313,0.0173836,0.0236994,0.0294218,0.021019,0.0178557,0.0170558,0.009617,0.0104825,0.0055076,0.0063939,0.011934,0.0093508,0.0210275,0.0113886,25.0262379,0.0128444,25.0226762,0.0159388,25.4127479,25.4128441,25.4135475,0.0080141,0.0134737,0.0456189,25.4124043,25.4126201,25.4127971,25.4134413,25.4081895,0.0497507,0.0231775,0.0127331,0.0264264,0.0378949,0.0128256,20.0082131,20.0090385,20.0072517,20.0080322,20.0063678,20.0074713,0.0067889,0.0044825,0.0071321,0.0101613,0.0162667,0.0207556,37.056729,37.0619628,300.4114426,0.0192916
Sample 9,0.0000003,0.0000003,0.0000004,0.0046196,0.000005,0.0000008,0.0242647,0.0083478,0.0493855,0.0085478,0.0207259,0.0176421,0.0000003,0.0000007,0.0000022,0.0186487,0.0260866,0.0074445,0.0000042,0.0000006,0.0000003,0.0000006,0.0000037,0.0000003,0.0074728,0.0139194,0.022472,0.0422337,0.0027512,0.0054286,0.0272838,0.0224727,0.0202849,0.0122599,0.0081649,0.0117743,0.0059405,0.0270874,0.0061112,0.0158354,0.0140549,25.0312334,0.0112544,25.0290825,0.0033613,25.4141946,25.4141225,25.4149634,0.0203931,0.0110789,0.0193926,25.4151806,25.4136203,25.4148149,25.4154347,25.4096335,0.041605,0.037391,0.0097428,0.0197224,0.0379871,0.0079748,20.0102831,20.0111459,20.0109996,20.0114915,20.0112971,20.0097723,0.0119253,0.0053307,0.0101599,0.0099005,0.0097184,0.0182979,37.0339432,37.0349158,300.4272491,0.023674
Sample 10,0.0000001,0.0000001,0.0000002,0.0000014,0.0000023,0.0000004,0.016904,0.0264519,0.0346666,0.0028461,0.0161362,0.0135173,0.0000001,0.0000003,0.0105527,0.0152342,0.0130779,0.017694,0.0090922,0.0000003,0.0000001,0.0000003,0.0000017,0.0000001,0.0131257,0.0110034,0.0185598,0.0261112,0.0165876,0.0225094,0.0220455,0.0197705,0.0178895,0.0118849,0.0080071,0.0047164,0.0075345,0.0109846,0.0087473,0.022033,0.0105001,25.0270944,0.0116111,25.0286125,0.0127676,25.4128312,25.4121016,25.4133012,0.0108708,0.0232995,0.0256087,25.4130224,25.4128414,25.413437,25.4139868,25.4098659,0.0474956,0.0223024,0.0121182,0.0252737,0.035848,0.0116348,20.0106485,20.0089834,20.0087193,20.0088316,20.005568,20.0085909,0.0095011,0.005679,0.0099819,0.0105818,0.0122673,0.0205021,37.0580008,37.0636227,300.4198735,0.0213062
Sample 11,0.000001,0.0000009,0.0000015,0.0008885,0.0000165,0.0000027,0.0378347,0.0218939,0.0458501,0.014787,0.0126287,0.0061375,0.000001,0.0000023,0.0000074,0.0306829,0.036972,0.0174008,0.0000139,0.0000019,0.000001,0.0000019,0.0000123,0.000001,0.0075706,0.0279789,0.0335996,0.0494393,0.0074091,0.0250061,0.0354705,0.0276505,0.0355606,0.0181601,0.01704,0.0233593,0.0056812,0.0259924,0.0037251,0.0221198,0.0232715,25.0271121,0.0203826,25.0288985,0.0019118,25.4162548,25.4158236,25.4164153,0.0202505,0.008321,0.0374339,25.4162452,25.4152019,25.4142157,25.4174807,25.4102558,0.0423522,0.0449566,0.0200337,0.0288599,0.0269058,0.0192129,20.0056338,20.0090259,20.0064188,20.0062254,20.006222,20.0075646,0.0045193,0.0071667,0.0098289,0.0128385,0.0129111,0.0203739,37.058094,37.0623613,300.4220134,0.0324936
Sample 12,0.0000003,0.0000003,0.0000004,0.000003,0.0000049,0.0000008,0.0195289,0.0067884,0.0209223,0.0200709,0.0200555,0.0154395,0.0000003,0.0000007,0.003237,0.0174939,0.0108807,0.0105709,0.0084348,0.0000006,0.0000003,0.0000006,0.0000036,0.0000003,0.0091152,0.0098434,0.0221825,0.0063181,0.0174513,0.0018527,0.0443128,0.0273464,0.0260437,0.0162896,0.008716,0.011575,0.0078979,0.0158952,0.0062377,0.0435565,0.0173577,25.0203247,0.0120684,25.0192072,0.0051435,25.4139194,25.413963,25.4137244,0.0145626,0.0248042,0.0244865,25.4141648,25.4135566,25.4139503,25.4147046,25.4094532,0.0348739,0.0352454,0.0103535,0.0247913,0.0182586,0.015524,20.007595,20.0084254,20.0061398,20.0072535,20.0062551,20.0056759,0.0112839,0.0067197,0.0067406,0.0216067,0.0126782,0.0172958,37.0600922,37.0667426,300.425335,0.0239694
